Name,Year,Week,Month,Team,Oppt,Age,h/a,Favored,Spread,O/U,Temperature,Wind,Receptions,Targets,Rec_TDs,Rec_Yds,Opp_Rank,Opp_Avg_Rec_Allowed,Opp_Avg_Targets_Allowed,Opp_Avg_TDs_Allowed,Opp_Avg_Yds_Allowed,Weather_DOME,Weather_Fog,Weather_Rain,Weather_Rain | Fog,Weather_Snow,Weather_Snow | Fog,Weather_Snow | Freezing Rain,Weather_Sunny,FD salary,FD points
"Agholor, Nelson",2016,9,November,PHI,NYG,23.166,0,0,-3.0,42.5,57.0,8.0,2.6666666666666665,4.666666666666667,0.0,23.0,2,12.0,21.0,1.0,159.66666666666666,0,0,0,0,0,0,0,1,5200.0,6.1
"Agholor, Nelson",2016,10,November,PHI,ATL,23.173000000000002,1,1,-1.5,49.0,54.0,6.0,4.0,5.0,1.0,57.0,8,11.666666666666664,19.33333333333333,1.0,151.0,0,0,0,0,0,0,0,1,5400.0,1.7
"Agholor, Nelson",2016,11,November,PHI,SEA,23.18,0,0,-6.5,43.0,51.0,4.0,3.0,5.0,0.5,32.0,10,12.666666666666664,21.33333333333333,1.0,181.0,0,0,0,0,0,0,0,1,5200.0,2.0
"Agholor, Nelson",2016,13,December,PHI,CIN,23.19400000000001,0,0,-1.5,42.0,41.0,3.0,2.0,4.333333333333333,0.3333333333333333,21.33333333333333,4,14.333333333333336,22.33333333333333,1.0,219.0,0,0,0,0,0,0,0,1,4500.0,4.7
"Agholor, Nelson",2016,14,December,PHI,WAS,23.201,1,0,-2.5,48.5,33.0,2.0,2.0,4.333333333333333,0.0,10.0,4,14.333333333333336,20.33333333333333,1.0,228.33333333333331,0,0,0,0,0,0,0,1,4800.0,3.2
"Agholor, Nelson",2016,15,December,PHI,BAL,23.208000000000002,0,0,-5.0,41.0,58.0,6.0,2.0,4.0,0.0,15.0,7,14.666666666666664,19.666666666666668,1.6666666666666667,235.0,0,0,1,0,0,0,0,0,4600.0,1.5
"Agholor, Nelson",2016,16,December,PHI,NYG,23.212,1,1,-1.5,42.5,41.0,8.0,2.333333333333333,4.333333333333333,0.0,18.0,6,10.0,16.333333333333332,1.6666666666666667,190.66666666666663,0,0,0,0,0,0,0,1,4600.0,12.2
"Agholor, Nelson",2017,2,September,PHI,KC,24.116,0,0,-4.5,47.5,66.0,6.0,4.666666666666667,6.333333333333332,0.3333333333333333,35.0,23,14.0,25.0,0.0,152.0,0,0,0,0,0,0,0,1,5500.0,7.4
"Agholor, Nelson",2017,3,September,PHI,NYG,24.123,1,1,-6.0,43.0,83.0,7.0,2.6666666666666665,4.333333333333333,0.3333333333333333,18.33333333333333,2,12.0,19.0,0.0,136.0,0,0,0,0,0,0,0,1,5400.0,3.0
"Agholor, Nelson",2017,4,October,PHI,LAC,24.13,0,0,-1.0,47.5,84.0,7.0,2.0,3.0,0.3333333333333333,13.333333333333336,3,16.333333333333332,24.33333333333333,1.0,185.33333333333331,0,0,0,0,0,0,0,1,5300.0,7.3
"Agholor, Nelson",2017,5,October,PHI,ARI,24.136999999999997,1,1,-6.5,45.0,75.0,11.0,2.0,3.333333333333333,0.3333333333333333,29.0,10,16.0,23.66666666666667,1.3333333333333333,228.33333333333331,0,0,0,0,0,0,0,1,5100.0,17.3
"Agholor, Nelson",2017,6,October,PHI,CAR,24.141,0,0,-3.0,45.5,73.0,5.0,3.0,4.0,0.3333333333333333,57.0,18,17.666666666666668,29.0,1.6666666666666667,253.66666666666663,0,0,0,0,0,0,0,1,5500.0,13.5
